,,,nominal gross output,nominal intermediate input,nominal IT equipment capital,nominal software capital,nominal R&D capital,nominal entertainment originals capital,nominal other capital,nominal college labor input,nominal non-college labor input,gross output quantity index,intermediate input quantity index,quantity index IT equipment capital,quantity index software capital,quantity index R&D capital,quantity index entertainment originals capital,quantity index other capital,quantity index college labor input,quantity index non-college labor input,total hours
yr,indnum,Description,go.,ii.,vkit.,vksoft.,vkRD.,vkart.,vkoth.,vlcol.,vln.,goqi.,iiqi.,qkit.,qks.,qkrd.,qka.,qko.,qlindexcol_merge.,qlindexn_merge.,hrs
1947,5,Support activities for mining,1520,1065,0.42111599999999999,0.42111599999999999,0.42111599999999999,0.42111599999999999,45.5,69.797447000000005,339.70254499999999,0.32055,0.85850000000000004,2.1800000000000001E-3,1,1,1,0.21579999999999999,0.42403200000000002,0.52183299999999999,617.91094999999996
1948,5,Support activities for mining,2063,1394,0.363597,0.363597,0.363597,0.363597,65.445633000000001,105.641899,496.45806900000002,0.36886999999999998,1.0296099999999999,2.1800000000000001E-3,1,1,1,0.22075,0.45190599999999997,0.55759199999999998,632.88525400000003
1949,5,Support activities for mining,2024,1399,0.364396,0.364396,0.364396,0.364396,61.042416000000003,101.679626,460.82037400000002,0.35960999999999999,1.0024,2.1800000000000001E-3,1,1,1,0.22902,0.40201500000000001,0.53132599999999996,542.74694799999997
1950,5,Support activities for mining,2374,1678,0.36160900000000001,0.36160900000000001,0.36160900000000001,0.36160900000000001,68.153594999999996,120.285667,506.11428799999999,0.41194999999999998,1.1659200000000001,2.1800000000000001E-3,1,1,1,0.24012,0.45630900000000002,0.54319200000000001,566.13360599999999
1951,5,Support activities for mining,2812,2037,0.37453700000000001,0.37453700000000001,0.37453700000000001,0.37453700000000001,76.001853999999994,133.936127,563.56384300000002,0.44963999999999998,1.3019700000000001,2.1800000000000001E-3,1,1,1,0.24854999999999999,0.44883800000000001,0.60777700000000001,569.83398399999999
1952,5,Support activities for mining,3189,2382,0.38129800000000003,0.38129800000000003,0.38129800000000003,0.38129800000000003,79.174819999999997,147.40535,578.89465299999995,0.50343000000000004,1.4921800000000001,2.1800000000000001E-3,1,1,1,0.26035000000000003,0.45444899999999999,0.65394399999999997,542.87548800000002
1953,5,Support activities for mining,3488,2624,0.37657299999999999,0.37657299999999999,2.1540000000000001E-3,0.37657299999999999,85.268150000000006,164.56991600000001,613.03008999999997,0.53547999999999996,1.59466,2.1800000000000001E-3,1,4.2999999999999999E-4,1,0.27966000000000002,0.45314599999999999,0.67052400000000001,514.11663799999997
1954,5,Support activities for mining,3730,2808,0.354271,0.354271,1.0841E-2,0.354271,91.126366000000004,182.53050200000001,647.26946999999996,0.59816000000000003,1.66984,2.1800000000000001E-3,1,1.2800000000000001E-3,1,0.30245,0.40908099999999997,0.68804500000000002,446.21115099999997
1955,5,Support activities for mining,4058,3039,0.34715299999999999,0.34715299999999999,1.7260000000000001E-2,0.34715299999999999,100.841309,203.84974700000001,713.25024399999995,0.62560000000000004,1.7381800000000001,2.1800000000000001E-3,1,1.64E-3,1,0.32418000000000002,0.42501800000000001,0.72517900000000002,463.63299599999999
1956,5,Support activities for mining,4247,3168,0.35556300000000002,0.35556300000000002,1.5720999999999999E-2,0.35556300000000002,106.817612,220.546356,750.55364999999995,0.60321999999999998,1.7146600000000001,2.1800000000000001E-3,1,1.5299999999999999E-3,1,0.34287000000000001,0.455121,0.752135,488.69525099999998
1957,5,Support activities for mining,4146,3024,0.35244599999999998,0.35244599999999998,1.3755E-2,0.35244599999999998,111.128929,237.988495,771.81146200000001,0.57921999999999996,1.58667,2.1800000000000001E-3,1,1.42E-3,1,0.36387000000000003,0.46226600000000001,0.75281799999999999,475.51092499999999
1958,5,Support activities for mining,3753,2682,0.34120099999999998,0.34120099999999998,1.1155999999999999E-2,0.34120099999999998,106.065285,239.749268,724.15069600000004,0.54966000000000004,1.39655,2.1800000000000001E-3,1,1.2999999999999999E-3,1,0.38888,0.42326200000000003,0.69385799999999997,408.11200000000002
1959,5,Support activities for mining,3674,2605,0.34365899999999999,0.34365899999999999,9.7490000000000007E-3,0.34365899999999999,105.859306,244.74887100000001,717.35107400000004,0.53888000000000003,1.32152,2.1800000000000001E-3,1,1.1800000000000001E-3,1,0.41237000000000001,0.44053599999999998,0.68596000000000001,416.17672700000003
1960,5,Support activities for mining,3115,2052,0.33389799999999997,0.33389799999999997,8.4759999999999992E-3,0.33389799999999997,105.289879,241.69512900000001,715.00482199999999,0.45760000000000001,1.0288299999999999,2.1800000000000001E-3,1,1.0499999999999999E-3,1,0.43398999999999999,0.42789700000000003,0.64669200000000004,391.64599600000003
